text,emotion
i am totally shocked,surprise
I am writing an email,neutral
I am petrified,fear
Life feels so hard right now!,sad
This is the worst.,angry
Everything is going great,happy
i am totally pissed off,angry
infuriating situation,angry
Feeling very gloomy.,sad
I feel down and depressed.,sad
I can't believe this.,surprise
i am going to the store,neutral
absolutely wonderful,happy
So annoyed right now,angry
Feeling very gloomy,sad
I feel so lonely!,sad
this is infuriating,angry
i am trembling with fear,fear
This is the best day of my life!,happy
so annoyed right now,angry
life feels so hard right now,sad
I am panicking!,fear
Ecstatic about the new project!,happy
i am outraged,angry
So annoyed right now!,angry
I am crying right now,sad
I feel so sad!,sad
I hate this so much!,angry
I can't believe this,surprise
Completely unexpected.,surprise
nothing is going right,sad
I am so joyful!,happy
this is the worst,angry
I am horror-struck!,fear
I am speechless!,surprise
i feel extremely anxious,fear
I am really frustrated and angry!,angry
Feeling very empty inside!,sad
I can't stand it anymore!,angry
I am delighted!,happy
Such a wonderful experience,happy
feeling very gloomy,sad
I couldn't be happier,happy
I am extremely pleased.,happy
This is completely unacceptable!,angry
Feeling very empty inside,sad
This makes me so anxious!,fear
I am afraid of what might happen,fear
The sky is blue,neutral
Feeling on top of the world!,happy
i feel down and depressed,sad
I am really frustrated and angry,angry
The temperature is 20 degrees,neutral
I am totally pissed off!,angry
Completely annoyed and frustrated!,angry
I am losing my temper!,angry
Infuriating situation,angry
I feel amazing!,happy
Here is the report!,neutral
it is 10 am,neutral
So glad to hear this,happy
I am so joyful.,happy
This is a book!,neutral
This makes me smile.,happy
the sky is blue,neutral
"Oh my goodness, wow!",surprise
This is a book.,neutral
This is a tragedy,sad
i can't believe this,surprise
How dare they do this!,angry
It is 10 AM,neutral
I walked the dog,neutral
Here is the report,neutral
I am surprised!,surprise
What a complete idiot,angry
I am totally shocked.,surprise
The car is parked outside,neutral
This is astonishing,surprise
This is maddening!,angry
this is the best day of my life!,happy
i am extremely pleased,happy
What a complete idiot.,angry
It is 10 AM.,neutral
I am dreading this,fear
this is pure joy,happy
I can't stand it anymore.,angry
That is baffling!,surprise
It's a beautiful day.,happy
i feel amazing,happy
It is 10 AM!,neutral
Here are the keys!,neutral
Nothing is going right.,sad
The car is parked outside!,neutral
I couldn't be happier!,happy
I'm thrilled with the results,happy
I am in awe,surprise
i am completely lost,sad
i am so joyful,happy
Ecstatic about the new project,happy
Fantastic news!,happy
i have lost all hope,sad
Why does everything hurt.,sad
I am in tears!,sad
Didn't see that coming.,surprise
here are the keys,neutral
feeling very nervous,fear
I feel down and depressed,sad
I am afraid of what might happen.,fear
The sky is blue!,neutral
Feeling spooked!,fear
Everything is going great!,happy
What a shock!!,surprise
that is baffling,surprise
I walked the dog.,neutral
I am horror-struck.,fear
Absolutely wonderful!,happy
This is completely unacceptable,angry
I am raging right now.,angry
I am horror-struck,fear
I am furious!!,angry
This creeps me out,fear
I watched a video.,neutral
This is terrifying!,fear
The car is parked outside.,neutral
This is just a regular day.,neutral
Cannot stop shivering in fear!,fear
The train arrived on time!,neutral
I am very happy today,happy
This creeps me out.,fear
this is maddening,angry
This makes my blood boil.,angry
I am drinking water!,neutral
It's a beautiful day,happy
completely unexpected,surprise
Completely unexpected!,surprise
I hate this so much,angry
i am very happy today,happy
completely annoyed and frustrated,angry
I am completely amazed.,surprise
"Whoa, that is incredible.",surprise
This is pure joy.,happy
This is astonishing!,surprise
I am extremely pleased!,happy
This is terrifying,fear
I feel terrible!,sad
"Whoa, that is incredible!",surprise
I feel terrible,sad
this breaks my heart,sad
I am in awe.,surprise
I feel extremely anxious!,fear
I am completely amazed,surprise
Such a wonderful experience!,happy
This is heartbreaking,sad
I can't stop crying!,sad
I need to do my laundry!,neutral
i am terrified,fear
i am stunned,surprise
this is just a regular day,neutral
I am devastated,sad
Absolutely wonderful.,happy
I am outraged!,angry
feeling spooked,fear
I am crying right now!,sad
I am drinking water,neutral
what a lovely surprise,happy
The temperature is 20 degrees!,neutral
So glad to hear this.,happy
This is infuriating,angry
Really scared for my life!,fear
I am deeply sorrowful!,sad
what a shock!,surprise
I am in awe!,surprise
"oh my goodness, wow",surprise
This creeps me out!,fear
The sky is blue.,neutral
Everything is going great.,happy
This makes my blood boil!,angry
I am surprised,surprise
I'm thrilled with the results.,happy
Such miserable news!,sad
I am crying right now.,sad
I will eat lunch now.,neutral
this is heartbreaking,sad
Mind blown!!,surprise
Feeling very empty inside.,sad
no way! really?,surprise
"Whoa, that is incredible",surprise
This is astonishing.,surprise
What a shock!,surprise
Fascinating discovery!,surprise
What a revelation,surprise
Feeling on top of the world,happy
The train arrived on time.,neutral
i am petrified,fear
this is astonishing,surprise
I am afraid of what might happen!,fear
I can't stop crying,sad
"Oh my goodness, wow",surprise
I love this!,happy
I have lost all hope!,sad
I am losing my temper,angry
this caught me off guard,surprise
I am very happy today!,happy
I can't believe this!,surprise
Why does everything hurt,sad
I am outraged,angry
i am really frustrated and angry,angry
I am stunned,surprise
This makes me so anxious.,fear
I am terrified,fear
this creeps me out,fear
I am furious!,angry
i walked the dog,neutral
I feel so worried,fear
I am in tears.,sad
What a revelation!,surprise
Cannot stop shivering in fear.,fear
i need to do my laundry,neutral
I am writing an email.,neutral
mind blown!,surprise
I am totally pissed off.,angry
Such miserable news.,sad
i am completely amazed,surprise
That is baffling.,surprise
This is maddening,angry
this is frightening,fear
cannot stop shivering in fear,fear
I feel so sad.,sad
feeling very empty inside,sad
This makes me smile,happy
i can't stand it anymore,angry
It's a tuesday.,neutral
Didn't see that coming!,surprise
Mind blown!,surprise
i am in tears,sad
This is just a regular day!,neutral
Nothing is going right!,sad
wow! i didn't expect that,surprise
Completely annoyed and frustrated,angry
I am losing my temper.,angry
I am panicking,fear
I feel a sense of impending doom.,fear
Completely annoyed and frustrated.,angry
I am terrified.,fear
This is heartbreaking.,sad
Feeling very nervous,fear
this makes me smile,happy
Life feels so hard right now,sad
I feel amazing.,happy
So glad to hear this!,happy
I am in tears,sad
why does everything hurt,sad
Feeling very gloomy!,sad
Feeling spooked.,fear
I am raging right now!,angry
I walked the dog!,neutral
i am surprised,surprise
I watched a video,neutral
i feel so sad,sad
Such a wonderful experience.,happy
i feel so worried,fear
This makes me smile!,happy
This makes me so anxious,fear
I am stunned!,surprise
this makes my blood boil,angry
Here are the keys.,neutral
Don't ever do that again.,angry
I am completely lost,sad
this is a book,neutral
she said hello,neutral
I am devastated.,sad
This is completely unacceptable.,angry
I am stunned.,surprise
i am getting genuinely angry,angry
What a complete idiot!,angry
This is a book,neutral
I am getting genuinely angry!,angry
I am surprised.,surprise
I am so scared,fear
I can't stand it anymore,angry
I have lost all hope.,sad
I am getting genuinely angry,angry
How dare they do this,angry
I couldn't be happier.,happy
I am very happy today.,happy
Why does everything hurt!,sad
I am totally pissed off,angry
I feel so lonely.,sad
I am reading an article,neutral
She said hello.,neutral
i am raging right now,angry
This is a tragedy!,sad
I feel terrible.,sad
Feeling on top of the world.,happy
I am totally shocked,surprise
Infuriating situation!,angry
this is terrifying,fear
This caught me off guard,surprise
This is infuriating.,angry
Such miserable news,sad
I'm thrilled with the results!,happy
Infuriating situation.,angry
i am afraid of what might happen,fear
i'm thrilled with the results,happy
This breaks my heart.,sad
It's a tuesday,neutral
I am totally shocked!,surprise
it's a tuesday,neutral
i am dreading this,fear
What a lovely surprise,happy
This is frightening.,fear
Didn't see that coming,surprise
This is maddening.,angry
"Oh my goodness, wow.",surprise
This gives me nightmares.,fear
i am furious!,angry
I love this!!,happy
fantastic news!,happy
This is infuriating!,angry
Really scared for my life,fear
This is the worst,angry
I am devastated!,sad
I am trembling with fear!,fear
I feel so worried.,fear
Fascinating discovery,surprise
the train arrived on time,neutral
i hate this so much,angry
I am trembling with fear.,fear
I feel so lonely,sad
this is completely unacceptable,angry
The train arrived on time,neutral
I am dreading this!,fear
It's a tuesday!,neutral
I am really frustrated and angry.,angry
i am so scared,fear
This breaks my heart,sad
So annoyed right now.,angry
This caught me off guard!,surprise
Feeling very nervous.,fear
I am speechless!!,surprise
i am reading an article,neutral
I am deeply sorrowful.,sad
I am drinking water.,neutral
This is a tragedy.,sad
This is terrifying.,fear
I will eat lunch now!,neutral
I am petrified!,fear
really scared for my life,fear
Here are the keys,neutral
She said hello,neutral
Wow! I didn't expect that!,surprise
i am panicking,fear
i feel a sense of impending doom,fear
i feel so lonely,sad
i am devastated,sad
Life feels so hard right now.,sad
here is the report,neutral
I am reading an article!,neutral
How dare they do this.,angry
I am going to the store,neutral
i feel terrible,sad
This gives me nightmares!,fear
Don't ever do that again,angry
I feel so worried!,fear
I am so scared!,fear
I am so scared.,fear
What a lovely surprise.,happy
I feel a sense of impending doom,fear
The meeting is at 5 PM.,neutral
I am trembling with fear,fear
That is baffling,surprise
I am panicking.,fear
i can't stop crying,sad
i love this!,happy
ecstatic about the new project,happy
i am delighted,happy
I am reading an article.,neutral
the temperature is 20 degrees,neutral
Really scared for my life.,fear
I am petrified.,fear
i am losing my temper,angry
such miserable news,sad
Fantastic news!!,happy
This is pure joy!,happy
didn't see that coming,surprise
feeling on top of the world,happy
what a revelation,surprise
I am writing an email!,neutral
Here is the report.,neutral
Wow! I didn't expect that,surprise
I watched a video!,neutral
"whoa, that is incredible",surprise
I need to do my laundry,neutral
i watched a video,neutral
It's a beautiful day!,happy
No way! Really?!,surprise
This gives me nightmares,fear
I feel so sad,sad
Cannot stop shivering in fear,fear
I will eat lunch now,neutral
This is the worst!,angry
I am going to the store!,neutral
She said hello!,neutral
Feeling very nervous!,fear
Absolutely wonderful,happy
i am writing an email,neutral
The meeting is at 5 PM!,neutral
This caught me off guard.,surprise
Nothing is going right,sad
I am completely lost!,sad
I hate this so much.,angry
such a wonderful experience,happy
I am dreading this.,fear
The meeting is at 5 PM,neutral
I feel down and depressed!,sad
i am drinking water,neutral
Fascinating discovery.,surprise
i am in awe,surprise
i am horror-struck,fear
What a lovely surprise!,happy
I feel extremely anxious.,fear
What a revelation.,surprise
I am deeply sorrowful,sad
I am terrified!,fear
I feel amazing,happy
I feel a sense of impending doom!,fear
I feel extremely anxious,fear
i am crying right now,sad
I have lost all hope,sad
This makes my blood boil,angry
This breaks my heart!,sad
i couldn't be happier,happy
Don't ever do that again!,angry
I am outraged.,angry
this is a tragedy,sad
how dare they do this,angry
Feeling spooked,fear
No way! Really?,surprise
i am deeply sorrowful,sad
I am completely lost.,sad
This is just a regular day,neutral
I am so joyful,happy
I am delighted,happy
This is heartbreaking!,sad
don't ever do that again,angry
it's a beautiful day,happy
I am extremely pleased,happy
The temperature is 20 degrees.,neutral
This is frightening!,fear
I am raging right now,angry
This is pure joy,happy
so glad to hear this,happy
Completely unexpected,surprise
I am going to the store.,neutral
i am speechless!,surprise
the car is parked outside,neutral
what a complete idiot,angry
I need to do my laundry.,neutral
fascinating discovery,surprise
This is frightening,fear
everything is going great,happy
I am completely amazed!,surprise
the meeting is at 5 pm,neutral
This is the best day of my life!!,happy
Ecstatic about the new project.,happy
i will eat lunch now,neutral
this makes me so anxious,fear
I am delighted.,happy
I am getting genuinely angry.,angry
I can't stop crying.,sad
this gives me nightmares,fear
